,Nodes,Time (s),Quantity,Type,Hue
157,256,8.019420438470704,Calibrate,Real,Opt 1
158,256,8.377609557245117,Calibrate,Real,Opt 1
159,256,8.377696902677734,Calibrate,Real,Opt 1
160,256,8.400309071020509,Calibrate,Real,Opt 1
161,256,8.37574825266211,Calibrate,Real,Opt 1
162,32,3.6515572,Calibrate,Estimate,Opt 1 Estimate
163,64,4.5125692507499995,Calibrate,Estimate,Opt 1 Estimate
164,96,5.179740904500001,Calibrate,Estimate,Opt 1 Estimate
165,128,5.77908897725,Calibrate,Estimate,Opt 1 Estimate
166,192,6.8646486829999995,Calibrate,Estimate,Opt 1 Estimate
167,256,7.9860791227500005,Calibrate,Estimate,Opt 1 Estimate
168,512,12.16173456875,Calibrate,Estimate,Opt 1 Estimate
169,1024,20.700468593500002,Calibrate,Estimate,Opt 1 Estimate
170,1536,30.26614282325,Calibrate,Estimate,Opt 1 Estimate
171,2048,40.42446051325,Calibrate,Estimate,Opt 1 Estimate
172,2560,,Calibrate,Estimate,Opt 1 Estimate
173,3072,,Calibrate,Estimate,Opt 1 Estimate
174,3584,,Calibrate,Estimate,Opt 1 Estimate
175,4096,,Calibrate,Estimate,Opt 1 Estimate
176,32,4.523062384664062,Construct,Real,Opt 2
177,32,4.525183595140625,Construct,Real,Opt 2
178,32,4.527014925023438,Construct,Real,Opt 2
179,32,4.5236166555937505,Construct,Real,Opt 2
180,32,4.5231310554375,Construct,Real,Opt 2
181,64,4.74809477525,Construct,Real,Opt 2
182,64,4.743489004859375,Construct,Real,Opt 2
183,64,4.746234534882813,Construct,Real,Opt 2
184,64,4.744478133378907,Construct,Real,Opt 2
185,64,4.743097646656251,Construct,Real,Opt 2
186,96,4.958150900789063,Construct,Real,Opt 2
187,96,4.95586596234375,Construct,Real,Opt 2
188,96,4.950425535520833,Construct,Real,Opt 2
189,96,4.956503380830729,Construct,Real,Opt 2
190,96,4.953988338841146,Construct,Real,Opt 2
191,128,5.171044030222657,Construct,Real,Opt 2
192,128,5.172961556771484,Construct,Real,Opt 2
193,128,5.164888976894532,Construct,Real,Opt 2
194,128,5.170165646730469,Construct,Real,Opt 2
195,128,5.168545968056641,Construct,Real,Opt 2
196,192,5.588685122821615,Construct,Real,Opt 2
197,192,5.580737313022136,Construct,Real,Opt 2
198,192,5.5868077935,Construct,Real,Opt 2
199,192,5.596329271292968,Construct,Real,Opt 2
200,192,5.584203624796875,Construct,Real,Opt 2
201,256,6.015298462711915,Construct,Real,Opt 2
202,256,6.0189394049375,Construct,Real,Opt 2
203,256,6.0093004506328125,Construct,Real,Opt 2
204,256,5.942453433275391,Construct,Real,Opt 2
205,256,6.010705406136719,Construct,Real,Opt 2
206,32,4.5471509254999996,Construct,Estimate,Opt 2 Estimate
207,64,4.7490297434999995,Construct,Estimate,Opt 2 Estimate
208,96,4.9100310415,Construct,Estimate,Opt 2 Estimate
209,128,5.11396116375,Construct,Estimate,Opt 2 Estimate
210,192,5.52630581825,Construct,Estimate,Opt 2 Estimate
211,256,5.970993519249999,Construct,Estimate,Opt 2 Estimate
212,512,7.62932019675,Construct,Estimate,Opt 2 Estimate
213,1024,11.36305854975,Construct,Estimate,Opt 2 Estimate
214,1536,15.03925912375,Construct,Estimate,Opt 2 Estimate
215,2048,,Construct,Estimate,Opt 2 Estimate
216,2560,,Construct,Estimate,Opt 2 Estimate
217,3072,,Construct,Estimate,Opt 2 Estimate
218,3584,,Construct,Estimate,Opt 2 Estimate
219,4096,,Construct,Estimate,Opt 2 Estimate
220,32,3.3928471516874996,Calibrate,Real,Opt 2
221,32,3.3925669718828124,Calibrate,Real,Opt 2
222,32,3.3897177679921877,Calibrate,Real,Opt 2
223,32,3.3893046729921874,Calibrate,Real,Opt 2
224,32,3.391098491804687,Calibrate,Real,Opt 2
225,64,3.9896727324296872,Calibrate,Real,Opt 2
226,64,3.9880130289101565,Calibrate,Real,Opt 2
227,64,3.990154768457031,Calibrate,Real,Opt 2
228,64,3.989013704640625,Calibrate,Real,Opt 2
229,64,3.9880654854960937,Calibrate,Real,Opt 2
230,96,4.411054945901042,Calibrate,Real,Opt 2
231,96,4.413477012799479,Calibrate,Real,Opt 2
232,96,4.414215320117187,Calibrate,Real,Opt 2
233,96,4.413794172682292,Calibrate,Real,Opt 2
234,96,4.407938912390625,Calibrate,Real,Opt 2
235,128,4.753977287935546,Calibrate,Real,Opt 2
236,128,4.796338304515625,Calibrate,Real,Opt 2
237,128,4.793927847238281,Calibrate,Real,Opt 2
238,128,4.794878030003906,Calibrate,Real,Opt 2
239,128,4.7908714851015635,Calibrate,Real,Opt 2
240,192,5.379110156386719,Calibrate,Real,Opt 2
241,192,5.502775419634115,Calibrate,Real,Opt 2
242,192,5.502385873881511,Calibrate,Real,Opt 2
243,192,5.507333185807291,Calibrate,Real,Opt 2
244,192,5.505429529450521,Calibrate,Real,Opt 2
245,256,5.96926339240625,Calibrate,Real,Opt 2
246,256,6.17270398684082,Calibrate,Real,Opt 2
247,256,6.169167255603515,Calibrate,Real,Opt 2
248,256,6.189563483302734,Calibrate,Real,Opt 2
249,256,6.168445196835938,Calibrate,Real,Opt 2
250,32,3.3860324654999996,Calibrate,Estimate,Opt 2 Estimate
251,64,3.9528714012500004,Calibrate,Estimate,Opt 2 Estimate
252,96,4.373225429250001,Calibrate,Estimate,Opt 2 Estimate
253,128,4.7255421195,Calibrate,Estimate,Opt 2 Estimate
254,192,5.341571673,Calibrate,Estimate,Opt 2 Estimate
255,256,5.95182379825,Calibrate,Estimate,Opt 2 Estimate
256,512,8.21772317325,Calibrate,Estimate,Opt 2 Estimate
257,1024,12.68237226675,Calibrate,Estimate,Opt 2 Estimate
258,1536,16.96365308525,Calibrate,Estimate,Opt 2 Estimate
259,2048,,Calibrate,Estimate,Opt 2 Estimate
260,2560,,Calibrate,Estimate,Opt 2 Estimate
261,3072,,Calibrate,Estimate,Opt 2 Estimate
262,3584,,Calibrate,Estimate,Opt 2 Estimate
263,4096,,Calibrate,Estimate,Opt 2 Estimate
264,32,4.521148420117187,Construct,Real,Opt 3
265,32,4.524693899124999,Construct,Real,Opt 3
266,32,4.524406633179687,Construct,Real,Opt 3
267,32,4.527302809617188,Construct,Real,Opt 3
268,32,4.5213616586875,Construct,Real,Opt 3
269,64,4.742947589921875,Construct,Real,Opt 3
270,64,4.7458983729843744,Construct,Real,Opt 3
271,64,4.745406637527344,Construct,Real,Opt 3
272,64,4.7429822048046875,Construct,Real,Opt 3
273,64,4.746680186398438,Construct,Real,Opt 3
274,96,4.952787676179688,Construct,Real,Opt 3
275,96,4.951694710627604,Construct,Real,Opt 3
276,96,4.952304807278646,Construct,Real,Opt 3
277,96,4.950650924921875,Construct,Real,Opt 3
278,96,4.954047618830729,Construct,Real,Opt 3
279,128,5.183009909931641,Construct,Real,Opt 3
280,128,5.1661854854375,Construct,Real,Opt 3
281,128,5.165863066707031,Construct,Real,Opt 3
282,128,5.169963600396485,Construct,Real,Opt 3
283,128,5.168796463382813,Construct,Real,Opt 3
284,192,5.581314173460938,Construct,Real,Opt 3
285,192,5.580359777541666,Construct,Real,Opt 3
286,192,5.580714065875,Construct,Real,Opt 3
287,192,5.592174418847655,Construct,Real,Opt 3
288,192,5.583421097602865,Construct,Real,Opt 3
289,256,6.0180564163281245,Construct,Real,Opt 3
290,256,6.016583076898438,Construct,Real,Opt 3
291,256,6.007677564631836,Construct,Real,Opt 3
292,256,6.011237289638672,Construct,Real,Opt 3
293,256,6.013589866738281,Construct,Real,Opt 3
294,32,4.522160347250001,Construct,Estimate,Opt 3 Estimate
295,64,4.73854962025,Construct,Estimate,Opt 3 Estimate
296,96,4.9315962935,Construct,Estimate,Opt 3 Estimate
297,128,5.1198543465,Construct,Estimate,Opt 3 Estimate
298,192,5.5405743135,Construct,Estimate,Opt 3 Estimate
299,256,5.91545234925,Construct,Estimate,Opt 3 Estimate
300,512,7.668017818749999,Construct,Estimate,Opt 3 Estimate
301,1024,11.11726792875,Construct,Estimate,Opt 3 Estimate
302,1536,15.362531997749999,Construct,Estimate,Opt 3 Estimate
303,2048,,Construct,Estimate,Opt 3 Estimate
304,2560,,Construct,Estimate,Opt 3 Estimate
305,3072,,Construct,Estimate,Opt 3 Estimate
306,3584,,Construct,Estimate,Opt 3 Estimate
307,4096,,Construct,Estimate,Opt 3 Estimate
308,32,3.39100867165625,Calibrate,Real,Opt 3
309,32,3.389485799265625,Calibrate,Real,Opt 3
310,32,3.392680611242187,Calibrate,Real,Opt 3
311,32,3.3869950506640625,Calibrate,Real,Opt 3
312,32,3.3926821698203127,Calibrate,Real,Opt 3
313,64,3.990965745621094,Calibrate,Real,Opt 3
314,64,3.9887065181718753,Calibrate,Real,Opt 3
315,64,3.989932266644531,Calibrate,Real,Opt 3
316,64,3.987811459699219,Calibrate,Real,Opt 3
317,64,3.987199481964844,Calibrate,Real,Opt 3
