,Nodes,Time (s),Quantity,Type,Hue
0,32,1.633820040703125,Construct,Real,Opt 0
1,32,1.644304684015625,Construct,Real,Opt 0
2,32,1.6395609405390625,Construct,Real,Opt 0
3,32,1.6312818806171874,Construct,Real,Opt 0
4,32,1.639495892546875,Construct,Real,Opt 0
5,64,1.8855108980117188,Construct,Real,Opt 0
6,64,1.8853452895664062,Construct,Real,Opt 0
7,64,2.0428887029179688,Construct,Real,Opt 0
8,64,2.0304751321640624,Construct,Real,Opt 0
9,64,1.8772288811523439,Construct,Real,Opt 0
10,96,2.1345449484739585,Construct,Real,Opt 0
11,96,2.116908571075521,Construct,Real,Opt 0
12,96,2.134058096679688,Construct,Real,Opt 0
13,96,2.125762881742187,Construct,Real,Opt 0
14,96,2.1202044209609374,Construct,Real,Opt 0
15,128,2.364340235169922,Construct,Real,Opt 0
16,128,2.3515902887031253,Construct,Real,Opt 0
17,128,2.3837250632207034,Construct,Real,Opt 0
18,128,2.3772745334316405,Construct,Real,Opt 0
19,128,2.3703668362714847,Construct,Real,Opt 0
20,192,2.8585072362708335,Construct,Real,Opt 0
21,192,2.84081719797526,Construct,Real,Opt 0
22,192,2.864560026253906,Construct,Real,Opt 0
23,192,2.8427359468398437,Construct,Real,Opt 0
24,192,2.8630112068763025,Construct,Real,Opt 0
25,256,3.347616823619141,Construct,Real,Opt 0
26,256,3.3159153901787106,Construct,Real,Opt 0
27,256,3.32476227915625,Construct,Real,Opt 0
28,256,3.317416373336914,Construct,Real,Opt 0
29,256,3.3441343252480467,Construct,Real,Opt 0
30,32,1.5884201880000002,Construct,Estimate,Opt 0 Estimate
31,64,1.78217936725,Construct,Estimate,Opt 0 Estimate
32,96,1.93662765675,Construct,Estimate,Opt 0 Estimate
33,128,2.0962114764999997,Construct,Estimate,Opt 0 Estimate
34,192,2.4226337075,Construct,Estimate,Opt 0 Estimate
35,256,2.8003841729999994,Construct,Estimate,Opt 0 Estimate
36,512,4.1558396965,Construct,Estimate,Opt 0 Estimate
37,1024,7.03996155325,Construct,Estimate,Opt 0 Estimate
38,1536,9.836945857,Construct,Estimate,Opt 0 Estimate
39,2048,12.925131358,Construct,Estimate,Opt 0 Estimate
40,2560,15.959557734,Construct,Estimate,Opt 0 Estimate
41,3072,19.09909142675,Construct,Estimate,Opt 0 Estimate
42,3584,22.1577494325,Construct,Estimate,Opt 0 Estimate
43,4096,26.24464453275,Construct,Estimate,Opt 0 Estimate
44,32,1.9587400985546877,Calibrate,Real,Opt 0
45,32,1.9586544650625002,Calibrate,Real,Opt 0
46,32,1.9607034615,Calibrate,Real,Opt 0
47,32,1.9576955905312499,Calibrate,Real,Opt 0
48,32,1.9595107073984375,Calibrate,Real,Opt 0
49,64,2.335959026125,Calibrate,Real,Opt 0
50,64,2.3357774134218747,Calibrate,Real,Opt 0
51,64,2.3355580831679683,Calibrate,Real,Opt 0
52,64,2.33536554715625,Calibrate,Real,Opt 0
53,64,2.3368476876835937,Calibrate,Real,Opt 0
54,96,2.665999200328125,Calibrate,Real,Opt 0
55,96,2.666268622151042,Calibrate,Real,Opt 0
