,nodes,gpus_per_node,model_time_sim,time_configure,time_configure,time_create_nodes,time_create_nodes,time_connect_local,time_connect_local,time_network_local_tot,time_network_local_tot,time_area_packing,time_area_packing,time_connect_global,time_connect_global,total_constr,total_constr,time_calibrate,time_calibrate,time_presimulate,time_presimulate,time_simulate,time_simulate,sim_factor,sim_factor
,first,first,first,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0,2,4,10.0,0.0051255450625,0.0033469737526166245,0.0042739363875,9.856243480048673e-05,7.9802510613875,0.039019879033659846,30.1206687738375,0.14179711316856017,22.1361437760625,0.10431140771686519,58.5495042348875,0.3367436209479463,98.86018710686251,0.3868624563880665,10.184888553075,0.032494387038398985,16.445796062375003,0.8707580122974458,272.0596867804,20.65678288923391,27.20596867804,2.0656782889233893
1,4,4,10.0,0.010018637968749999,0.012497562252258647,0.004211486575,4.617240646413236e-05,6.4884223273375,0.03974634791967583,15.00889038319375,0.09844391644146215,8.51625656928125,0.060524804597188876,57.3951679338625,0.22982875357801086,74.78322123850626,0.2953803257166857,2.36914428348125,0.0036033798877674558,12.0726114571625,1.7451481604895662,189.99153098516877,12.022234208844198,18.999153098516878,1.2022234208844202
2,6,4,10.0,0.0049856724125,0.005581395062245162,0.007870110841666667,0.0035024237155328285,7.635611194404167,0.038662137515949845,10.052529735533334,0.055482814698126534,2.4090484302874997,0.018773188902809563,57.23063835775,0.1647983927408256,68.7169005368,0.21944904076873561,1.4287467711041666,0.0027136665367268483,13.2989919205,0.6177802458943923,158.80942380686253,11.51313186165668,15.88094238068625,1.151313186165669
3,8,4,10.0,0.005748315746875001,0.004768675691122759,0.012706828640625,0.007642546277009491,7.529121792475,0.04024531476330325,7.55184102903125,0.04238383674934366,0.010012407915625054,0.0005142715311242427,57.09773472607187,0.10258561107974284,65.54099037255625,0.14176876275307504,0.88566630170625,0.0029808357953649833,9.535980200928126,1.1110673576165642,146.02033199365937,8.97229798064293,14.602033199365938,0.8972297980642927
4,16,2,10.0,0.00538175465,0.005903121511717354,0.009460976278125,0.003880846773309946,7.42282859810625,0.023433765776561533,7.4423965837,0.024065264394461047,0.010107009315624981,0.0005536718913917248,56.562163345078126,0.08213029912289949,64.89394332847499,0.08375543948792308,0.8840016450468751,0.0019395967908464214,16.717643461990626,10.587011589803794,146.58970099900313,8.935149810323706,14.658970099900312,0.8935149810323706
5,32,1,10.0,0.002526867090625,0.0011139735892306657,0.00529207138125,0.00011444512494819669,7.316575882709375,0.00843762606465697,7.332250004562501,0.008452799672849308,0.010382050471874838,0.00045262968490747765,56.121803568678125,0.035789050353201075,64.33919591942814,0.043718627063647576,0.8826154790968751,0.0010561669229795677,9.71559567529375,1.04892968570568,147.22977769004063,8.719937746463609,14.722977769004064,0.8719937746463609
