,nodes,gpus_per_node,model_time_sim,time_configure,time_create_neurons,time_create_devices,time_connect_neurons,time_connect_devices,time_create_nodes,time_area_packing,time_connect_local,time_network_local_tot,time_connect_global,time_calibrate,total_constr,time_presimulate,time_simulate,sim_factor
0,2,4,10.0,0.0035953065,0.00398050125,0.000401352625,7.9607722135,0.000674000625,0.004381853875,22.07860373425,7.961446214125,30.04443180225,58.850105564375,10.19055592775,99.088688600875,16.4167856115,253.559293454,25.3559293454
1,2,4,10.0,0.0029122555,0.003960087625,0.00040228275,7.948433387375,0.00066982825,0.004362370375,22.0712956305,7.9491032156250006,30.0247612165,58.811077088125,10.208940395,99.047690955125,17.759468775125,263.9058230965,26.39058230965
2,2,4,10.0,0.00087925375,0.003887965875,0.0004012505,8.014855354375,0.000670726125,0.004289216375,22.196288739125002,8.015526080499999,30.216104036,58.552303646625,10.19282654325,98.962113479625,15.971611861625,284.760380201875,28.476038020187502
3,2,4,10.0,0.011868778625,0.00374940475,0.000399282375,8.042032858375,0.00067468775,0.004148687125,22.314784041499998,8.042707546125,30.36164027475,58.485603825,10.1836185185,99.042731396875,17.936685074125,269.49330295825,26.949330295825
4,2,4,10.0,0.00527337675,0.003779369375,0.0003989855,7.95788664175,0.000676201875,0.004178354875,22.035737787875004,7.958562843625,29.998478986375,58.039740604625,10.2356273515,98.27912031925,16.071669580125,299.204537516125,29.920453751612502
5,2,4,10.0,0.0008708745,0.0037659415,0.000400854875,8.016747962875,0.000672230625,0.004166796375,22.264142026500004,8.0174201935,30.285729016375,58.327198705875,10.1136375005,98.72743609725,16.663840912875,275.908650457,27.590865045700003
6,2,4,10.0,0.007787994125,0.0039709615,0.000400672125,7.9356043215,0.000669686625,0.004371633625,22.083054633125002,7.936274008124999,30.023700274875,58.592484531,10.182137473875,98.806110273875,16.83187770525,307.544273283625,30.7544273283625
7,2,4,10.0,0.007274543875,0.003944671625,0.000400788625,7.939561484,0.00066937975,0.00434546025,22.0401093905,7.94023086375,29.9846857145,58.693171952875,10.18639701225,98.8715292235,15.27174738925,272.11493728675,27.211493728675
8,2,4,10.0,0.005619977,0.003755299625,0.000404532,7.961386336,0.000672452625,0.004159831625,22.048259869875,7.962058788625001,30.014478490125,58.059358010875,10.1545539585,98.2340104365,15.8498326915,246.009173129,24.600917312900002
9,2,4,10.0,0.00517309,0.003931674,0.000403485375,8.0185032005,0.000677659375,0.004335159375,22.229161907375,8.019180859875,30.252677926625,59.0839984195,10.200590849625,99.54244028575,15.684441022375,248.096496420875,24.8096496420875
10,4,4,10.0,0.0423204525625,0.003803990875,0.0004047471875,6.4758341905,0.000678661875,0.0042087380625,8.5287437839375,6.4765128523749995,15.009465374375,57.2019179673125,2.37070947775,74.624413272,11.913310151,179.2338066755625,17.923380667556252
11,4,4,10.0,0.0005754773125,0.0038211375625,0.000399888,6.4630898398125,0.0006764089375,0.0042210255625,8.450773159999999,6.46376624875,14.9187604343125,57.228839710625,2.370289618625,74.518465240875,11.70849035375,186.306859765,18.6306859765
12,4,4,10.0,0.01105789875,0.0037593254375,0.0004073945,6.5246161604375,0.0006799441875,0.0041667199375000005,8.564261218625001,6.525296104624999,15.0937240431875,57.3661899453125,2.3723349670625,74.8433068543125,12.932670542,187.191843896625,18.719184389662498
13,4,4,10.0,0.0043651570625,0.00382707175,0.000401128875,6.4799803154375,0.00067795225,0.004228200625,8.484077147249998,6.480658267687501,14.9689636155625,57.54972419,2.3650221084375,74.8880750710625,10.2009158121875,203.0179407036875,20.30179407036875
14,4,4,10.0,0.0168238731875,0.0038891645625,0.000406414,6.4440267830625,0.000683785875,0.0042955785625,8.471587029375,6.4447105689375,14.920593176875,57.3686529693125,2.3632045435,74.669274562875,14.15643315325,188.35784666825,18.835784666825
15,4,4,10.0,0.010140817125,0.003827191375,0.0004042606875,6.507789104,0.000677326125,0.0042314520625,8.537385110687499,6.508466430125001,15.050082992875,57.5917714699375,2.3701691650625,75.022164445,8.30214938075,209.3403662341875,20.934036623418752
16,4,4,10.0,0.00144356825,0.003763128125,0.000407727625,6.5774305688125,0.00068281925,0.00417085575,8.6590638246875,6.5781133880625,15.2413480685,57.771241826375,2.3700997925,75.384133255625,13.6663878115625,182.002170829875,18.2002170829875
17,4,4,10.0,0.0025482544375,0.003861124,0.000398556,6.460002306,0.000677223875,0.00425968,8.49299730225,6.460679529875,14.957936512125,57.6170664155625,2.3740928474375,74.9516440295625,13.2007419111875,207.0918872804375,20.70918872804375
18,4,4,10.0,0.0088295325625,0.0037431494375,0.0003978675625,6.45739200925,0.000676055875,0.004141017,8.493074391124999,6.458068065125,14.95528347325,57.0474645480625,2.370950840375,74.38252839425,12.8287570763125,180.2770207573125,18.02770207573125
19,4,4,10.0,0.0020813484375,0.003790244,0.0004013541875,6.48727575825,0.0006760595625,0.0041915981875,8.480602724874998,6.4879518178125,14.972746140875,57.208810296125,2.3645694740625,74.5482072595,11.816258379625,177.09556704075,17.709556704075002
20,6,4,10.0,0.0036818804583333333,0.007749500708333333,0.00040768329166666667,7.625341356125,0.009021136541666665,0.008157184,2.421577473458334,7.634362492666667,10.064097150125,57.114480066958336,1.429019448,68.61127854554167,13.932699614,184.5699514555,18.45699514555
21,6,4,10.0,0.0029684845833333334,0.006029952208333333,0.00039805608333333333,7.685019117375,0.023127436541666668,0.006428008291666666,2.4381546019166667,7.7081465539166665,10.152729164125,57.557464911,1.429655827125,69.14281838683333,13.445674087625,165.865626200875,16.5865626200875
