,Nodes,Time (s),Quantity,Type,Hue
0,32,10.578273291632813,Construct,Real,Opt 0
1,32,10.510028051367186,Construct,Real,Opt 0
2,32,10.494503899109375,Construct,Real,Opt 0
3,32,10.493660690140626,Construct,Real,Opt 0
4,32,10.500022128125,Construct,Real,Opt 0
5,64,11.919568949765626,Construct,Real,Opt 0
6,64,11.923495512859374,Construct,Real,Opt 0
7,64,11.919821380917968,Construct,Real,Opt 0
8,64,11.923122104292968,Construct,Real,Opt 0
9,64,11.945582179515625,Construct,Real,Opt 0
10,96,13.325350576453125,Construct,Real,Opt 0
11,96,13.334789852585937,Construct,Real,Opt 0
12,96,13.319200264968751,Construct,Real,Opt 0
13,96,13.334991709247396,Construct,Real,Opt 0
14,96,13.345862693723959,Construct,Real,Opt 0
15,128,14.735904859697268,Construct,Real,Opt 0
16,128,14.739633263640624,Construct,Real,Opt 0
17,128,14.730815394207031,Construct,Real,Opt 0
18,128,14.733066098273436,Construct,Real,Opt 0
19,128,14.707224459869142,Construct,Real,Opt 0
20,192,17.515999750018228,Construct,Real,Opt 0
21,192,17.51329026943099,Construct,Real,Opt 0
22,192,17.514522128277346,Construct,Real,Opt 0
23,192,17.539041185244795,Construct,Real,Opt 0
24,192,17.505980323464843,Construct,Real,Opt 0
25,256,20.33107612132129,Construct,Real,Opt 0
26,256,20.319807603473635,Construct,Real,Opt 0
27,256,20.343874326923828,Construct,Real,Opt 0
28,256,20.31704715767676,Construct,Real,Opt 0
29,256,20.337223901558595,Construct,Real,Opt 0
30,32,10.42387926,Construct,Estimate,Opt 0 Estimate
31,64,11.728473293250001,Construct,Estimate,Opt 0 Estimate
32,96,13.137414345,Construct,Estimate,Opt 0 Estimate
33,128,14.396111152749999,Construct,Estimate,Opt 0 Estimate
34,192,17.060224585999997,Construct,Estimate,Opt 0 Estimate
35,256,19.70443574475,Construct,Estimate,Opt 0 Estimate
36,512,30.46430009575,Construct,Estimate,Opt 0 Estimate
37,1024,47.512991135,Construct,Estimate,Opt 0 Estimate
38,32,5.557505211328125,Calibrate,Real,Opt 0
39,32,5.554448191695313,Calibrate,Real,Opt 0
40,32,5.554902031859375,Calibrate,Real,Opt 0
41,32,5.5559104252890625,Calibrate,Real,Opt 0
42,32,5.551385334226563,Calibrate,Real,Opt 0
43,64,6.795206224957031,Calibrate,Real,Opt 0
44,64,6.793169659667969,Calibrate,Real,Opt 0
45,64,6.790851794457032,Calibrate,Real,Opt 0
46,64,6.795907480316406,Calibrate,Real,Opt 0
47,64,6.7988027745625,Calibrate,Real,Opt 0
48,96,7.800831246083334,Calibrate,Real,Opt 0
49,96,7.806109067442708,Calibrate,Real,Opt 0
50,96,7.8039011143281245,Calibrate,Real,Opt 0
51,96,7.807567594421875,Calibrate,Real,Opt 0
52,96,7.803290364515625,Calibrate,Real,Opt 0
53,128,8.6701992483125,Calibrate,Real,Opt 0
54,128,8.668243829908203,Calibrate,Real,Opt 0
55,128,8.671807125826174,Calibrate,Real,Opt 0
56,128,8.671318835603515,Calibrate,Real,Opt 0
57,128,8.669262996775391,Calibrate,Real,Opt 0
58,192,10.284464687792969,Calibrate,Real,Opt 0
59,192,10.282877410626304,Calibrate,Real,Opt 0
60,192,10.283734029688802,Calibrate,Real,Opt 0
61,192,10.285029911615887,Calibrate,Real,Opt 0
62,192,10.287267427623698,Calibrate,Real,Opt 0
63,256,11.840475938694336,Calibrate,Real,Opt 0
64,256,11.851085738874023,Calibrate,Real,Opt 0
65,256,11.846236491817383,Calibrate,Real,Opt 0
66,256,11.846400857776368,Calibrate,Real,Opt 0
67,256,11.848057170398437,Calibrate,Real,Opt 0
68,32,5.559652849500001,Calibrate,Estimate,Opt 0 Estimate
69,64,6.8117355735,Calibrate,Estimate,Opt 0 Estimate
70,96,7.799839533000001,Calibrate,Estimate,Opt 0 Estimate
71,128,8.693025081,Calibrate,Estimate,Opt 0 Estimate
72,192,10.31740684175,Calibrate,Estimate,Opt 0 Estimate
73,256,11.840142156999999,Calibrate,Estimate,Opt 0 Estimate
74,512,18.1833668455,Calibrate,Estimate,Opt 0 Estimate
75,1024,29.12026876975,Calibrate,Estimate,Opt 0 Estimate
76,32,9.493135543984376,Construct,Real,Opt 1
77,32,9.494254026250001,Construct,Real,Opt 1
78,32,9.489825583226562,Construct,Real,Opt 1
79,32,9.500600080882812,Construct,Real,Opt 1
80,32,9.496241189234375,Construct,Real,Opt 1
81,64,9.923471519832031,Construct,Real,Opt 1
82,64,9.935343703652343,Construct,Real,Opt 1
83,64,9.924238712718749,Construct,Real,Opt 1
84,64,9.920228893148439,Construct,Real,Opt 1
85,64,9.912589160382812,Construct,Real,Opt 1
86,96,10.362078462414063,Construct,Real,Opt 1
87,96,10.367954299164063,Construct,Real,Opt 1
88,96,10.335106332197917,Construct,Real,Opt 1
89,96,10.362292594059896,Construct,Real,Opt 1
90,96,10.350188161875,Construct,Real,Opt 1
91,128,10.799812509126953,Construct,Real,Opt 1
92,128,10.77340666366211,Construct,Real,Opt 1
93,128,10.78649304444336,Construct,Real,Opt 1
94,128,10.792519928166016,Construct,Real,Opt 1
95,128,10.83152616606836,Construct,Real,Opt 1
96,192,11.578231977308596,Construct,Real,Opt 1
97,192,11.581254870566406,Construct,Real,Opt 1
98,192,11.599562638393229,Construct,Real,Opt 1
99,192,11.593734675042969,Construct,Real,Opt 1
100,192,11.555629521117188,Construct,Real,Opt 1
101,256,12.419809591510742,Construct,Real,Opt 1
102,256,12.438807288874024,Construct,Real,Opt 1
103,256,12.445236211414063,Construct,Real,Opt 1
104,256,12.42805178615918,Construct,Real,Opt 1
105,256,12.431670173220702,Construct,Real,Opt 1
106,32,9.419146012999999,Construct,Estimate,Opt 1 Estimate
107,64,9.791347168,Construct,Estimate,Opt 1 Estimate
108,96,10.1804134105,Construct,Estimate,Opt 1 Estimate
109,128,10.5229313185,Construct,Estimate,Opt 1 Estimate
110,192,11.14794944025,Construct,Estimate,Opt 1 Estimate
111,256,11.980845454,Construct,Estimate,Opt 1 Estimate
112,512,15.127961073999998,Construct,Estimate,Opt 1 Estimate
113,1024,21.8287542445,Construct,Estimate,Opt 1 Estimate
114,32,5.414724633039063,Calibrate,Real,Opt 1
115,32,5.41930750759375,Calibrate,Real,Opt 1
116,32,5.416555406609374,Calibrate,Real,Opt 1
117,32,5.4212848383359376,Calibrate,Real,Opt 1
118,32,5.4150788568124995,Calibrate,Real,Opt 1
119,64,6.701256840648437,Calibrate,Real,Opt 1
120,64,6.701007202445313,Calibrate,Real,Opt 1
121,64,6.703556945207032,Calibrate,Real,Opt 1
122,64,6.699765705738281,Calibrate,Real,Opt 1
123,64,6.699435486054687,Calibrate,Real,Opt 1
124,96,7.729138209846354,Calibrate,Real,Opt 1
125,96,7.73250008670573,Calibrate,Real,Opt 1
126,96,7.731031045218749,Calibrate,Real,Opt 1
127,96,7.732871400554687,Calibrate,Real,Opt 1
128,96,7.731818020648437,Calibrate,Real,Opt 1
129,128,8.615547734746094,Calibrate,Real,Opt 1
130,128,8.614748601228516,Calibrate,Real,Opt 1
131,128,8.604189306824217,Calibrate,Real,Opt 1
132,128,8.611445911005859,Calibrate,Real,Opt 1
133,128,8.605795796445312,Calibrate,Real,Opt 1
134,192,10.225913462384115,Calibrate,Real,Opt 1
135,192,10.232913628765624,Calibrate,Real,Opt 1
136,192,10.234090459054688,Calibrate,Real,Opt 1
137,192,10.23421568638151,Calibrate,Real,Opt 1
138,192,10.228344432838542,Calibrate,Real,Opt 1
139,256,11.788526107275391,Calibrate,Real,Opt 1
140,256,11.788484662869141,Calibrate,Real,Opt 1
141,256,11.79235333530957,Calibrate,Real,Opt 1
142,256,11.789144120799806,Calibrate,Real,Opt 1
143,256,11.793833403904298,Calibrate,Real,Opt 1
144,32,5.396734406250001,Calibrate,Estimate,Opt 1 Estimate
145,64,6.7134311565,Calibrate,Estimate,Opt 1 Estimate
146,96,7.790872879,Calibrate,Estimate,Opt 1 Estimate
147,128,8.63522289225,Calibrate,Estimate,Opt 1 Estimate
