time_prepare,time_create_neurons,time_connect_local,time_create_devices,time_connect_devices,time_network_local_tot,time_connect_global,time_calibrate,time_presimulate,time_simulate,total_constr,state,simulator,model_time_sim,time_create_nodes,sim_factor
0.0002870798125,4.08593480259375,131.10111010009376,0.001134349875,0.002503186875,194.3441759686875,432.150833039625,61.93001637375,68.9137404033125,58.504293284875,688.425312461875,ground,offboard,10.0,4.087069152468749,5.8504293284874995
0.0002848249375,4.08842818803125,131.021645430125,0.00115655734375,0.00247757915625,194.04712703434376,429.665238786,62.37043480184375,69.7829724843125,58.768554000625,686.083085447125,ground,offboard,10.0,4.089584745374999,5.8768554000625
0.00028363178125,4.08513519490625,131.18515846665625,0.00113585390625,0.002481225375,194.60747491509375,429.53835995503124,61.9589540095,64.7231835496875,59.30260458796875,686.1050725114062,ground,offboard,10.0,4.086271048812501,5.930260458796875
0.0002745545625,4.08467228571875,131.11131250465624,0.0011328495625,0.0025007155,194.674407555875,429.23247850709373,61.7708500178125,68.17862997078124,58.5420609583125,685.6780106353438,ground,offboard,10.0,4.08580513528125,5.85420609583125
0.000282003375,4.08855915540625,131.19007642071875,0.00118012134375,0.00250285771875,190.84102090159374,426.2463051295625,62.05682674715625,68.33333814771875,58.67776961740625,679.1444347816876,ground,offboard,10.0,4.08973927675,5.867776961740625
0.0002890974375,4.0964704596875,131.22185117053124,0.0011343550625,0.00247070515625,194.57016772984375,429.138007423125,62.11350228659375,69.4697453044375,58.44127197465625,685.821966537,ground,offboard,10.0,4.0976048147499995,5.8441271974656255
0.00029565153125,4.08667563353125,131.17397727975,0.00113347928125,0.00245048828125,194.8758082268125,435.55843170284373,62.2675595299375,66.350820839625,320.5754254085,692.702095111125,ground,offboard,10.0,4.0878091128125,32.05754254085
0.000265847125,4.09573607325,130.85073000225,0.00113219765625,0.00246251515625,193.9131118,430.9365088089375,61.8110908170625,69.25086837709375,58.99219148246875,686.660977273125,ground,offboard,10.0,4.09686827090625,5.899219148246875
0.00031322321875,4.1269123571875,130.5570321384375,0.00113919453125,0.002509685375,194.4114694236875,431.71284805271875,62.02911920434375,66.3581432939375,58.98649716671875,688.1537499039688,ground,offboard,10.0,4.12805155171875,5.8986497166718745
0.0002673910625,4.08261779025,130.83924560753124,0.00113033584375,0.002467897375,192.26251197053125,429.0599119719375,61.6526010050625,69.06529158846875,58.991359064375,682.9752923385937,ground,offboard,10.0,4.08374812609375,5.8991359064374995
0.00029814403125,4.07860723209375,131.33222820775,0.001168343625,0.002448817875,194.6532644078125,430.88162437509374,62.11222111346875,68.8985383995,137.72234967184374,687.6474080404063,metastable,offboard,10.0,4.079775575718751,13.772234967184374
0.0003082904375,4.08494330078125,130.55647637346874,0.001138449875,0.002479819125,192.5768938138125,429.24195988875,62.635734607625,71.636100439375,146.37310774453124,684.454896600625,metastable,offboard,10.0,4.086081750656249,14.637310774453123
0.000273078,4.07632927621875,131.08142388874998,0.00113845271875,0.00248346571875,195.01365490421875,429.34831662675,62.09313369784375,71.6136883084375,151.524606956875,686.4553783068125,metastable,offboard,10.0,4.0774677289375,15.1524606956875
0.00028386146875,4.07413385496875,130.63281720771874,0.001132276,0.002436271375,194.0119722440625,429.7475111735,61.4338484295625,74.516092519875,158.36550042553125,685.1936157085937,metastable,offboard,10.0,4.07526613096875,15.836550042553124
0.00029022615625,4.0837882310625,131.043046418875,0.0011648645625,0.00244247340625,194.8724587745625,426.85285423475,61.776682654625,69.2224036351875,143.8783035740625,683.5022858900937,metastable,offboard,10.0,4.084953095625,14.38783035740625
0.00028801240625,4.0754005264375,130.8293355220625,0.00113940984375,0.00245552796875,194.28267773840625,428.7746637823125,61.93714937071875,73.67891358328124,141.39993418709375,684.9947789038438,metastable,offboard,10.0,4.07653993628125,14.139993418709375
0.0002871829375,4.08161684315625,130.87381602534373,0.00113422753125,0.00245035303125,194.32788771840626,430.87296640696877,61.76100700928125,69.3684040005625,139.16657851865625,686.9621483175938,metastable,offboard,10.0,4.0827510706875,13.916657851865626
0.000289127625,4.0852096985625,130.93752063353125,0.0011349983125,0.00250758815625,195.0737463506875,430.745951091625,62.1381618645625,73.0411092128125,203.5858149315625,687.9581484345,metastable,offboard,10.0,4.086344696875,20.35858149315625
0.00029679584375,4.0664377804375,130.8735002158125,0.00113958778125,0.00245544125,194.27207151103124,429.7214015725625,61.51742299896875,72.16748036109375,226.792386332875,685.5111928784063,metastable,offboard,10.0,4.06757736821875,22.6792386332875
0.00029680296875,4.0808395821875,131.01248984815626,0.001134169625,0.00246596821875,194.93441239128126,430.71788032871876,61.31114551675,70.1170920234375,140.8508219419375,686.9637350397187,metastable,offboard,10.0,4.0819737518125,14.08508219419375
0.0004825739375,0.01107198265625,5.7400521462187495,0.00041708109375,0.001614989375,5.7634726015625,48.5805152625,1.2278399076875,5.90279276575,59.7623814543125,55.5723103456875,ground,onboard,10.0,0.01148906375,5.97623814543125
0.0004740166875,0.011004743,5.7192058849375,0.00041244065625,0.001638281625,5.7425899905,48.5835800125625,1.226989266875,7.20386624690625,190.32880154275,55.553633286625,ground,onboard,10.0,0.011417183656250001,19.032880154275
0.00047595784375,0.01119989053125,5.7351251303125,0.00041182553125,0.001609176625,5.75879417346875,48.60681893228125,1.2266406808125,6.8073430796875,59.48842289896875,55.59272974440625,ground,onboard,10.0,0.0116117160625,5.948842289896875
0.00047558928125,0.01115451415625,5.73322785784375,0.0004175919375,0.0016234675,5.75680266525,48.63568935215625,1.22696150459375,6.7335021550625,59.81128269571875,55.61992911128125,ground,onboard,10.0,0.01157210609375,5.981128269571875
